Nombre,Nombre_clean,Operador,Estado,Departamento,Municipio
PLANTA FV DONA JUANA,PLANTA FV DONA JUANA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Pruebas,CALDAS,LA DORADA
PLANTA SOLAR BAYUNCA I,PLANTA SOLAR BAYUNCA I,UNERGY ENERGY DIGITAL S.A.S E.S.P,Pruebas,BOLÍVAR,CARTAGENA DE INDIAS
PLANTA SOLAR SAN FRANCISCO,PLANTA SOLAR SAN FRANCISCO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Pruebas,CALDAS,PALESTINA
POLARIS I,POLARIS I,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CAUCA,MERCADERES
PORTON DEL SOL,PORTON DEL SOL,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,Operación,CALDAS,LA DORADA
ROKRA,ROKRA,ERCO GENERACION S.A.S. ESP,Pruebas,TOLIMA,SALDAÑA
ROVIRA,ROVIRA,CENTRAL TERMOCARTAGENA SAS ESP,Pruebas,TOLIMA,ROVIRA
SAN ONOFRE,SAN ONOFRE,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,SUCRE,SAN ONOFRE
SHANGRI LA,SHANGRI LA,ISAGEN S.A. E.S.P.,Operación,TOLIMA,IBAGUÉ
SINCE,SINCE,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,SUCRE,SAN LUIS DE SINCÉ
SOL DE ZAWADY,SOL DE ZAWADY,GR POWER COLOMBIA S.A.S E.S.P.,Pruebas,MAGDALENA,ZONA BANANERA
SOL Y CIELO I,SOL Y CIELO I,ENERGIA Y GAS DE COLOMBIA SAS ESP,Pruebas,CÓRDOBA,MONTERÍA
SOL Y CIELO II,SOL Y CIELO II,ENERGIA Y GAS DE COLOMBIA SAS ESP,Operación,CÓRDOBA,MONTERÍA
SOL Y CIELO III,SOL Y CIELO III,ENERGIA Y GAS DE COLOMBIA SAS ESP,Operación,CÓRDOBA,MONTERÍA
SOL Y CIELO IV,SOL Y CIELO IV,ENERGIA Y GAS DE COLOMBIA SAS ESP,Operación,CÓRDOBA,BUENAVISTA
