CodigoPlanta,NombreUnidad,TipoGeneracion,FPO
2V27,AUTOG COCA-COLA FEMSA 1,Termica,2018-07-25
5B15,GD MGS 0013 LA MESA 1,Solar,2025-08-31
VNTB,VENTANA B 1,Hidraulica,1957-11-01
TRN1,TERMONORTE 4,Termica,2018-12-01
4UK6,PARQUE EOLICO CARRETO 1,Eolica,2024-12-31
PTA1,LA PITA 1,Hidraulica,1965-01-01
PRG2,PROELECTRICA 2,Termica,1993-07-01
4YLK,DELTA I 1,Solar,2025-07-13
2S6S,AUTOG ARGOS YUMBO 1,Termica,2016-03-20
CMN1,AUTOG CEMENTOS DEL NARE 1,Hidraulica,2004-09-01
3NDE,GD ERCO TOLDADO 1,Solar,2024-09-19
GYPO,GUAYEPO 1,Solar,2024-11-30
HMLG,MIEL I 2,Hidraulica,2002-12-01
2T7D,AUTOG CANTAYUS 2,Hidraulica,2017-05-20
5F6V,GD ESPERANZA II 1,Solar,2025-10-31
3QCI,CONDOR 1,Solar,2024-12-20
2UX3,AURES BAJO 2,Hidraulica,2017-10-07
3J83,GUAMO 1,Solar,2024-09-20
3Q99,AUTOG BIODIANA 1,Termica,2025-01-25
LPLO,RIO PALO 1,Hidraulica,1960-01-01
2SI1,MORRO AZUL 1,Hidraulica,2016-01-27
3NLG,ROVIRA 1,Solar,2025-02-14
3JPK,MINIGRANJA SAN PEDRO 1,Solar,2024-02-27
TPUY,PARQUE SOLAR TEPUY 1,Solar,2024-06-12
TYP5,TERMOYOPAL G5,Termica,2021-02-11
4XP3,AUTOG TERMOARAUCA 1,Termica,2025-08-27
2QEK,SALTO II 2,Hidraulica,2014-06-25
NTB1,NUTIBARA 1,Hidraulica,1935-01-01
3PXE,BSB 500 1,Solar,2025-11-05
4XQA,GD SAN MARTIN II 1,Solar,2025-05-25
LMR1,EL LIMONAR 1,Hidraulica,2003-12-06
PJR1,PAJARITO 1,Hidraulica,1993-06-28
5F3Q,GD WE2021 1,Solar,2025-11-09
3AXV,AGPE INGENIO DE OCCIDENTE,Termica,2021-03-04
SJM1,SAN JOSE DE LA MONTAÑA 1,Hidraulica,2007-07-30
3MS2,CELSIA SOLAR PUERTO TEJADA 1,Solar,2024-12-03
3GRD,GRANJA SOLAR SAN FELIPE 1,Solar,2023-01-30
3JPA,GD ALFEREZ 1,Solar,2024-02-22
2S8I,AUTOG REFICAR 1,Termica,2016-04-26
3IZ6,PARQUE SOLAR LA UNION 1,Solar,2024-06-19
3K8A,CELSIA SOLAR ALUMINA 1,Solar,2024-03-24
3HLD,LOS GIRASOLES 1,Solar,2023-08-05
3K8E,BSB 504 1,Solar,2024-09-27
5E69,TERMOSARAVENA 1,Termica,2025-10-31
TSJ1,TASAJERO 1,Termica,1985-02-20
3GPZ,MONTELIBANO 1,Solar,2022-12-21
5F3P,GD WE202 1,Solar,2025-11-09
CIP1,INGENIO PROVIDENCIA 2,Termica,2009-05-18
2TUT,LUZMA I 1,Hidraulica,2017-04-18
3EFY,BOSQUES SOLARES DE LOS LLANOS 4 1,Solar,2022-09-12
3JP6,GD BASILICA 1,Solar,2024-02-16
2V25,AUTOG ARGOS SOGAMOSO 1,Termica,2018-10-02
PPA3,PAIPA 3,Termica,1982-05-06
5AD4,AUTOG CORONA SOPO 1,Solar,2025-07-31
4SS7,SOL Y CIELO IV 1,Solar,2025-03-21
3LMH,JEQUES 1,Solar,2024-10-04
2S8N,GUAVIO MENOR 1,Hidraulica,2016-04-27
5F41,GD CARACOL I 1,Solar,2025-11-11
5BQA,GD POLARIS II 1,Solar,2025-09-21
5GFB,GD WE9 1,Solar,2025-12-07
CTG2,CARTAGENA 2,Termica,1980-01-01
4SO8,MINIGRANJA LA PUYA 1,Solar,2025-04-07
5AXE,VALLEDUPAR I 1,Solar,2025-07-31
PPA2,PAIPA 2,Termica,1975-01-01
4YLM,POLARIS I 1,Solar,2025-07-13
5F49,AUTOG CARVAJAL GINEBRA 1,Solar,2025-09-30
2ZCF,SAN ANDRES DE CUERQUIA 1,Hidraulica,2020-06-11
RPD1,RIO PIEDRAS 1,Hidraulica,2016-01-08
3L9B,AUTOG EL COPEY 1,Solar,2024-05-31
2T1L,EL MOLINO 2,Hidraulica,2017-01-31
3DSO,HELIOS I 1,Solar,2022-03-03
NAV1,LA NAVETA 1,Hidraulica,1942-01-01
3AFQ,POCUNE 1,Hidraulica,2019-09-30
4ZEP,GD ERCO MARIANGOLA 1,Solar,2025-08-13
3LLY,PARQUE SOLAR HONDA II 1,Solar,2024-08-31
3JPM,BARAYA 1,Solar,2024-02-18
3F5N,AUTOG PINTUCO 1,Solar,2023-08-25
PRG1,PROELECTRICA 1,Termica,1993-07-01
RGRN,RIOGRANDE I 1,Hidraulica,1960-01-01
3K8C,BSB 503 1,Solar,2024-09-26
3RGZ,MINIGRANJA LA PAZ LEYENDA 1,Solar,2024-12-02
TR3G,TRINA-VATIA BSLIII 1,Solar,2020-11-15
TYP1,TERMOYOPAL 1,Termica,2020-12-01
CMP2,CAMPESTRE (EPM) 1,Hidraulica,1943-01-01
4YLE,GD ALEJANDRIA II 1,Solar,2025-10-24
5GF6,GD BLANCA ENERGY SOLAR 23 1,Solar,2025-12-09
EPFV,EL PASO 1,Solar,2024-03-23
BLL3,BELLO 1,Hidraulica,1934-01-01
5DW8,GD SEMILLA DE GUACAMAYAL II 1,Solar,2025-10-12
2UP2,COGENERADOR MANUELITA 2,Termica,2024-12-06
PES1,ITUANGO 1,Hidraulica,2022-12-01
4T9M,GD NAOS II 1,Solar,2025-03-02
2U91,TERMOMECHERO 6,Termica,2018-02-02
AMR1,AMERICA 1,Hidraulica,1997-01-01
2S8U,PORCE III MENOR 1,Hidraulica,1999-11-25
5AXI,GD PARQUE SOLAR GRANADA I 1,Solar,2025-09-14
3HF7,CELSIA SOLAR LA VICTORIA II 1,Solar,2023-08-30
4RMR,MINIGRANJA LA PAZ ESMERALDA 1,Solar,2025-02-26
4XQ2,PARQUE SOLAR INTI I 1,Solar,2025-03-31
RCIO,RIO RECIO 1,Hidraulica,2001-09-01
4SO6,LA MARTINA 1,Solar,2025-04-05
5AUM,GD GRANJA SAN PELAYO 1,Solar,2025-10-17
QUI1,EL QUIMBO 1,Hidraulica,2015-11-16
4YLO,SAN ONOFRE 1,Solar,2025-07-13
INZ1,INZA 1,Hidraulica,2009-02-05
3ED1,AUTOG GRAN COLOMBIA GOLD 1,Hidraulica,2022-05-31
3HS9,AUTOG BUGA I SOLLA 1,Solar,2023-06-16
3Q89,GD ERCO SALDANA II 1,Solar,2024-11-18
ZPA3,ZIPAEMG 3,Termica,1976-01-01
AFR1,AGUA FRESCA 1,Hidraulica,2017-01-31
HMO1,HIDROMONTAÑITAS 1,Hidraulica,2016-01-17
3J1J,PARQUE SOLAR HONDA I 1,Solar,2023-12-28
2S9Q,TEQUENDAMA BIOGAS 1,Termica,2016-06-25
2YB9,AUTOG ECOPETROL ORITO,Termica,2019-11-07
RFR1,RIO FRIO I 1,Hidraulica,1954-01-01
4UZS,SOL Y CIELO V 1,Solar,2025-05-08
3JNR,AUTOG UNIBOL 1,Termica,2024-02-11
SOG1,SOGAMOSO 2,Hidraulica,2014-12-01
SNC1,SAN CANCIO 1,Hidraulica,1929-01-01
3PWF,AUTOG SOLAR PALMIRA II BERRY 1,Solar,2024-10-09
3NGJ,GD CHIMBI 1,Solar,2024-08-28
2VJS,CELSIA SOLAR BOLIVAR 1,Solar,2018-11-16
4YLC,GD ALEJANDRIA III 1,Solar,2025-10-24
MIR1,MIROLINDO 1,Hidraulica,2004-11-03
4WUK,AUTOG COMOLSA 1,Solar,2025-03-31
2ZP9,TRINA-VATIA BSLI 1,Solar,2020-09-10
3HE8,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA 1,Solar,2023-04-30
PNC1,COGENERADOR PROENCA,Termica,2014-04-29
SPY1,RIO SAPUYES 1,Hidraulica,1954-01-01
ABJ1,LA CASCADA ( ABEJORRAL) 1,Hidraulica,2009-02-05
3K6T,SOLAR ALEJANDRIA 1,Solar,2024-04-27
3GVM,CELSIA SOLAR YUMA 1,Solar,2023-03-27
4YAW,AUTOG PALMERAS DE LA COSTA 1,Solar,2025-02-28
GQA1,GUANAQUITAS 1,Hidraulica,1935-01-01
4SO4,ROKRA 1,Solar,2025-04-05
AMF1,AMALFI 1,Hidraulica,2007-08-05
3HG9,COMUNIDAD EL SALVADOR II 1,Solar,2023-03-24
3EP6,AUTOG CELSIA SOLAR HARINAS 1,Solar,2022-09-21
4UM1,GD ERCO GUAMO IV 1,Solar,2025-03-30
4ULO,MINIGRANJA LA RESERVA 1,Solar,2025-07-04
3HF9,CELSIA SOLAR LA VICTORIA I 1,Solar,2023-08-30
SFC1,SAN FRANCISCO (PUTUMAYO) 1,Hidraulica,2012-12-15
2TUV,LUZMA II 1,Hidraulica,2017-05-04
STG1,SANTIAGO 1,Hidraulica,2010-12-22
5FPV,GD ERCO PALMAS 1,Solar,2025-11-25
3JQA,GD EL BANCO 1,Solar,2024-02-22
2UPH,TEQUENDAMA 4 1,Hidraulica,2018-04-03
4ZIS,GD BLANCA ENERGY II 1,Solar,2025-08-17
4YCN,VILLANUEVA 1,Termica,2025-10-02
3GSF,AUTOG BUGA I GRASAS 1,Solar,2023-04-15
4YCF,SHANGRI LA 1,Solar,2025-10-23
2S6Q,AUTOG YAGUARITO,Termica,2016-03-22
RMYO,RIOMAYO 1,Hidraulica,1995-07-20
SNS1,SONSON 1,Hidraulica,2002-06-01
5AUE,GD PXV I 1,Solar,2025-10-10
ARG1,ARGOS CARTAGENA 1,Termica,2016-03-15
3KVZ,AUTOG BIOS CONTEGRAL CARTAGO 1,Solar,2024-05-24
GE32,GECELCA 32,Termica,2018-09-28
2QRL,LA REBUSCA 1,Hidraulica,2014-07-24
2S8S,DOÑA JUANA 1,Termica,2016-04-29
3HBP,LA TOLUA 1,Solar,2023-04-04
SUV1,SUEVA 2 1,Hidraulica,2002-05-24
3FCF,GRANJA SOLAR LANCEROS 1,Solar,2023-01-30
2XXR,AGPE - ECOPETROL LA HORMIGA,Termica,2019-09-16
4YL8,PETALO DEL NORTE DE SANTANDER I 1,Solar,2025-03-31
3GJU,AUTOG INGENIO CARMELITA 1,Termica,2022-12-30
ZPA5,ZIPAEMG 5,Termica,1985-12-14
GCA1,CARUQUIA 1,Hidraulica,1939-01-01
3AQP,CAUYA 2,Hidraulica,2022-04-25
3EV3,LA MEDINA 1,Solar,2022-09-15
3JQE,CANAHUATE 1,Solar,2024-02-22
3QK6,AUTOG BIOS CIENAGA ORO 1,Solar,2024-11-04
2S6U,AUTOG ARGOS EL CAIRO 1,Hidraulica,2017-09-29
ZPA2,ZIPAEMG 2,Termica,1964-01-01
3HG7,COMUNIDAD EL SALVADOR I 1,Solar,2023-03-24
4Z8H,ZAMBRANO II 1,Solar,2024-07-31
3EDL,BOSQUES SOLARES DE LOS LLANOS 5 1,Solar,2022-09-12
5BPT,GD DELTA II 1,Solar,2025-09-21
4UZM,SOLAR PALMASECA I 1,Solar,2025-03-31
PLM1,PALMAS SAN GIL 1,Hidraulica,1954-01-01
PLU1,URRAO 1,Hidraulica,2007-07-30
USQ1,USAQUEN 1,Hidraulica,2013-04-15
JAGS,JAGUAS 2,Hidraulica,1988-09-24
4ULS,MINIGRANJA EL OLIMPO 1,Solar,2025-02-28
4VYM,AUTOG MOLINOS SANTA MARTA 1,Solar,2025-03-31
CTG1,CARTAGENA 1,Termica,1995-07-20
TMB1,TERMOBOLIVAR 1,Termica,2016-03-04
GEC3,GECELCA 3,Termica,2015-09-17
IRG1,INGENIO RISARALDA 1,Termica,2003-08-15
ZPA4,ZIPAEMG 4,Termica,1981-04-01
2UPJ,TEQUENDAMA 1 1,Hidraulica,2017-08-30
4WWY,GD SAN MARTIN 1,Solar,2025-05-11
TPD1,TERMOPIEDRAS 1,Termica,1999-12-30
3DDT,LATAM SOLAR LA LOMA 1,Solar,2024-06-24
3J4R,PARQUE SOLAR DINAMARCA 1,Solar,2024-03-11
3ACC,CELSIA SOLAR CARMELO 1,Solar,2020-12-27
CTG3,CARTAGENA 3,Termica,1980-01-01
VNTA,VENTANA A 1,Hidraulica,1957-11-01
